Name,S1,S2
IL Tazewell,14.098186,219.42291
IL Boone,61.53763,166.51468
IL Effingham,22.02979,205.87962
IL Fulton,31.057362,197.8843
IL Kankakee,77.19152,170.09727
IL Livingston,25.106596,199.48259
IL Macoupin,12.402058,216.96869
IL Mason,0.7159849,221.6776
IL Morgan,27.444424,192.8947
IL Piatt,0.0022475866,216.40883
IL Pike,13.104198,214.58139
IL Shelby,10.17703,211.22617
IL Bureau,16.106909,215.90317
IL Coles,66.06055,176.42572
IL Crawford,0.16616689,224.89539
IL Iroquois,37.96846,196.92644
IL Jefferson,59.681145,174.24916
IL Johnson,0.29538512,231.90208
IL Williamson,10.328499,219.76706
IL Woodford,11.530396,209.95871
IL Greene,40.043865,182.04707
IL Henry,12.10052,214.88391
IL Jodaviess,50.909016,185.14294
IL Menard,1.0855738,212.98764
IN Adams,37.423332,194.34097
IN Allen,79.35941,151.73294
IN Bartholomew,70.21164,160.25197
IN Benton,1.7452286,226.708
IN Blackford,14.9920845,219.22826
IN Boone,76.1225,144.72955
IN Brown,12.50387,205.18155
IN Carroll,25.080471,199.69366
IN Cass,124.80054,130.57146
IN Clark,62.94183,172.19472
IN Clay,14.24982,214.57216
IN Clinton,38.40954,197.71904
IN Crawford,0.3208994,230.39122
IN Daviess,77.87059,169.23628
IN Dearborn,43.35368,182.43933
IN Decatur,93.60312,151.12048
IN DeKalb,11.225874,211.21767
IN Delaware,62.546005,172.20123
IN Dubois,32.700485,190.67741
IN Elkhart,91.11102,144.1427
IN Fayette,32.316673,213.67558
IN Floyd,68.15513,163.18562
IN Fountain,11.435086,217.8482
IN Franklin,44.323643,185.98296
IN Fulton,11.426705,218.77126
IN Gibson,7.1373916,219.23016
IN Grant,61.691837,181.22939
IN Greene,64.849785,177.80649
IN Hamilton,82.76257,121.9084
IN Hancock,42.753513,177.60759
IN Harrison,44.445614,185.70343
IN Hendricks,73.078835,145.45898
IN Henry,29.75202,206.90198
IN Howard,63.977947,174.33676
IN Huntington,7.62601,214.64264
IN Jackson,29.38421,206.70935
IN Jasper,9.295227,212.39305
IN Jay,11.96358,223.18254
IN Jefferson,10.7871275,222.63232
IN Jennings,31.591312,207.86673
IN Johnson,76.91415,152.72292
IN Knox,1.9241327,232.69109
IN Kosciusko,27.658905,198.02937
IN La Porte,66.96371,163.24875
IN LaGrange,76.846405,156.37029
IN Lake,111.40171,131.64331
IN Lawrence,42.133545,192.4352
IN Madison,68.55652,175.24667
IN Marion,179.41684,78.163185
IN Marshall,48.01081,181.60136
IN Martin,0.00068352005,231.82716
IN Miami,13.464958,218.08116
IN Monroe,111.50496,103.97529
IN Montgomery,50.396946,186.07016
IN Morgan,37.60368,193.98676
IN Newton,64.8856,174.92807
IN Noble,64.714424,168.49986
IN Ohio,29.28015,196.40685
IN Orange,89.204865,160.02509
IN Owen,6.2433295,225.45845
IN Parke,3.2559004,225.47646
IN Perry,42.636246,188.66136
IN Pike,0.00017950236,221.0716
IN Porter,49.420044,170.732
IN Posey,0.0072393813,214.84438
IN Pulaski,10.010076,220.41806
IN Putnam,33.074574,192.62617
IN Randolph,17.410425,216.95622
IN Ripley,29.386658,201.66087
IN Rush,19.404793,212.16705
IN Scott,59.956738,172.84929
IN Shelby,59.1651,189.87987
IN Spencer,10.747003,217.79097
IN St. Joseph,52.56144,169.56718
IN Starke,19.98237,211.15424
IN Steuben,14.95488,202.38885
IN Sullivan,14.630599,221.25452
IN Switzerland,0.051990923,233.01111
IN Tippecanoe,86.79301,133.49269
IN Tipton,31.002682,196.61873
IN Union,0.025821805,222.3516
IN Vanderburgh,50.506584,185.31123
IN Vermillion,0.0007686554,227.40239
IN Vigo,45.56364,188.28163
IN Wabash,11.629081,216.33566
IN Warren,11.993155,208.91399
IN Warrick,47.75196,169.42583
IN Washington,4.936637,228.11646
IN Wayne,24.321886,215.36507
IN Wells,1.9744846,218.79494
IN White,51.600574,180.54613
IN Whitley,10.412458,204.5323
IA Adair,0.3834515,215.21356
IA Adams,0.0012538307,215.20705
IA Allamakee,53.618687,173.13579
IA Appanoose,24.25436,201.6625
IA Audubon,16.141447,203.36263
IA Benton,8.305907,200.50508
IA Black Hawk,114.02428,115.13422
IA Boone,18.862724,201.7933
IA Bremer,38.036247,169.95428
IA Buchanan,13.020321,204.5476
IA Buena Vista,186.62198,73.15608
IA Butler,10.939821,203.84921
IA Calhoun,17.3388,205.89824
IA Carroll,11.161429,203.84119
IA Cass,2.473283,219.07428
IA Cedar,9.237954,201.76129
IA Cerro Gordo,45.97793,180.61847
IA Cherokee,11.304345,210.19322
