Name,S1,S2,S3,S4,Cluster
MO Crawford,5.6807575e-17,0.101498894,0.08209977,0.82532114,B
MO Dade,5.6807575e-17,0.020008566,0.14363626,0.8342884,B
MO Dallas,0.0042370353,0.076407894,0.14136738,0.7684111,B
MO Daviess,5.6807575e-17,0.023554258,0.17779082,0.7655325,B
MO De Kalb,0.00823148,0.0854394,0.16068526,0.722954,B
MO Dent,5.6807575e-17,0.006044994,0.086907044,0.91770965,B
MO Douglas,0.012454641,0.022846999,0.08872872,0.86289704,B
MO Dunklin,0.025386969,0.29632345,9.779845e-6,0.7869828,B
MO Franklin,0.045383085,8.044002e-17,0.28494525,0.66143996,A
MO Gasconade,0.013073642,8.044002e-17,0.15942714,0.80683595,B
MO Gentry,0.26070493,8.044002e-17,0.19074592,0.66167027,B
MO Greene,0.005632645,0.09663035,0.47719768,0.45199573,A
MO Grundy,0.012149846,0.041744027,0.17432503,0.7570639,B
MO Harrison,0.018388892,0.052587643,0.12178302,0.79922515,B
MO Henry,0.031162629,0.012486924,0.15178008,0.81290424,B
MO Hickory,5.6807575e-17,0.08649905,0.06382992,0.85212946,B
MO Holt,5.6807575e-17,8.044002e-17,0.13591255,0.8272635,B
MO Howard,5.6807575e-17,0.049574014,0.23861264,0.667971,B
MO Howell,5.2007814e-5,0.04665979,0.12817915,0.82378626,B
MO Iron,5.6807575e-17,0.05495967,0.05063463,0.9334689,B
MO Jackson,0.029084738,0.3130609,0.49393725,0.25188178,D
MO Jasper,0.027135752,0.14825875,0.23198551,0.618135,B
MO Jefferson,0.028011613,7.982161e-10,0.33187786,0.655323,A
MO Johnson,0.0015586677,0.113832645,0.33022073,0.522796,A
MO Knox,5.6807575e-17,4.3924645e-11,0.15145814,0.8403451,B
MO Laclede,0.001352732,0.057206597,0.13394867,0.8181958,B
MO Lafayette,0.017378263,0.020187782,0.25958923,0.70351887,B
MO Lawrence,0.0016677441,0.11530038,0.15904653,0.7425984,B
MO Lewis,0.035941653,0.077105574,0.17828198,0.7069274,B
MO Lincoln,0.006212025,0.015775183,0.20948373,0.7368912,B
MO Linn,0.025144186,8.044002e-17,0.17640221,0.7814676,B
MO Livingston,5.6807575e-17,0.0673708,0.17936982,0.7199401,B
MO Macon,5.6807575e-17,0.25393525,0.074351035,0.7032608,B
MO Madison,5.6807575e-17,0.019567262,0.12319935,0.82987,B
MO Maries,5.6807575e-17,0.027884005,0.13120449,0.8463228,B
MO Marion,0.0067622093,0.047728375,0.1768031,0.7532065,B
MO McDonald,0.123561285,0.12699583,0.124451876,0.6812708,B
MO Mercer,5.6807575e-17,4.7837223e-16,0.16066395,0.7841745,B
MO Miller,4.307777e-9,0.029292213,0.16786315,0.7852793,B
MO Mississippi,2.1492534e-9,0.38254347,0.028690066,0.65814763,C
MO Moniteau,0.027441105,0.10218065,0.195368,0.64098257,B
MO Monroe,5.6807575e-17,0.010671856,0.15817805,0.8083848,B
MO Montgomery,0.0038074164,0.022357104,0.13325025,0.83654946,B
MO Morgan,5.6807575e-17,0.087595016,0.165755,0.7560975,B
MO New Madrid,0.025227327,0.25268298,2.4269992e-5,0.7675531,B
MO Newton,0.018091615,0.106510594,0.19981341,0.67220217,B
MO Nodaway,5.6807575e-17,0.09062096,0.2960988,0.5481457,A
