FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
31,234723,-110.031250000000000,34.718750000000000,740.000000000000000,{F1BFA854-5B35-473C-A3B0-39ED87437935},15020005,Silver,{2EBDD8B8-6AF0-43BF-A17A-D0AD2B42F275},162031,15020005
32,130944,-109.468750000000000,41.468750000000000,1254.000000000000000,{BBBECEFA-D15B-4DD3-9C2C-C6081B507FE0},14040106,Upper Green-Flaming Gorge Reservoir,{9EFBE123-2ABB-437E-929B-440E8FD9A21C},80185,14040106
33,217427,-109.906250000000000,35.843750000000000,745.000000000000000,{CD1CD03C-0A49-439C-B46E-6FE4CFAD13CF},15020011,Cottonwood Wash,{2F696549-C772-4D4B-8A89-76E7D904321B},149215,15020011
34,156934,-106.781250000000000,39.781250000000000,1225.000000000000000,{C6129826-D1B1-4D84-96D1-9F37774219E6},14010003,Eagle,{9EC847D3-DEB8-4873-8B22-CD06A7EB3958},102115,14010003
35,234663,-113.781250000000000,34.718750000000000,756.000000000000000,{23578BFA-D745-41C9-8DB1-319A827ECE89},15030201,Big Sandy,{93FA7FC6-BFA1-4394-AAD1-17F39DB50EFD},161971,15030201
36,151142,-108.406250000000000,40.156250000000000,1337.000000000000000,{B8CB7E5B-A42F-4A78-89CA-39FEF7B1C6C5},14050006,Piceance-Yellow,{6DFFD6FB-08D8-4D78-B76B-55D539D4FEE6},97293,14050006
37,238527,-112.531250000000000,34.468750000000000,781.000000000000000,{C82CE9B7-1547-4C1B-815B-A3AAEE1D9A7A},15070103,Hassayampa,{7479B8BD-7996-4493-A137-4866D310BF8C},164759,15070103
38,234740,-108.968750000000000,34.718750000000000,174.000000000000000,{235091EF-6669-4A64-BA91-64627FEDEA28},15020003,Carrizo Wash,{9644B821-2D0F-4609-A1DB-7431F16EAF51},162048,15020003
39,214471,-114.468750000000000,36.031250000000000,737.000000000000000,{8E4D2453-7D10-443C-880A-04E52EB5C866},15010014,Detrital Wash,{1AF33FAF-A5A5-4483-8BA3-25B1E5FD8EF7},146979,15010014
40,191518,-107.531250000000000,37.531250000000000,181.000000000000000,{666364B6-D9DB-4C44-8CBD-3092083EFC8D},14080101,Upper San Juan,{E5B17F89-A124-49CB-B1C2-863454794EBB},129520,14080101
41,243324,-113.031250000000000,34.156250000000000,782.000000000000000,{19ED8359-9C74-4C3A-B1F7-3AB03F8B02FA},15070104,Centennial Wash,{4587241F-80B8-45A0-9F34-5F069F5222AF},168091,15070104
42,244266,-114.218750000000000,34.093750000000000,754.000000000000000,{24F6DF4D-18F6-445E-B45C-BC625AFDDBBB},15030105,Bouse Wash,{39220F17-E5EE-400D-88B2-6ED50CB8F5B8},168730,15030105
43,169381,-109.656250000000000,38.968750000000000,1071.000000000000000,{D2C341CF-A5A0-4DDD-B630-B104B4148832},14030005,Upper Colorado-Kane Springs,{8E5FABE1-F301-4AA8-BAE3-9F08947C2C7F},112228,14030005
44,261619,-110.781250000000000,32.968750000000000,764.000000000000000,{4E3A7D7C-10FD-4F35-9477-71CA8693FDD2},15050203,Lower San Pedro,{0A81416B-DACF-4926-AA2D-E14FD97D474E},179995,15050203
45,250132,-107.968750000000000,33.718750000000000,172.000000000000000,{DF068B26-5F2C-4A96-BBED-281DDCE5600B},15040001,Upper Gila,{79CE9C5E-17A2-46DD-A63A-2B9A9AC0A2BC},172685,15040001
46,203883,-115.531250000000000,36.718750000000000,189.000000000000000,{56D23A13-F35F-4F27-AFEE-38887AEACB93},15010015,Las Vegas Wash,{1E3BCCB3-040E-4DCE-9E36-F5776DE5AFFD},138906,15010015
47,218321,-114.093750000000000,35.781250000000000,735.000000000000000,{D194D876-BC01-476D-B408-58F1DFCF4567},15010007,Red Lake,{27ADA2FA-487F-4ED2-B3A6-186B49ABC674},149878,15010007
48,117471,-110.656250000000000,42.343750000000000,1261.000000000000000,{FC83B338-3ED6-4445-9562-C00881CE00F1},14040107,Blacks Fork,{B99F0D21-AD41-4631-93FA-661EC75B6272},68989,14040107
49,207814,-110.093750000000000,36.468750000000000,746.000000000000000,{86A4B262-022D-451E-9133-FB4180E76851},15020012,Corn-Oraibi,{388CB9E4-8455-49D3-9907-84E1CA0AFAD8},141927,15020012
50,253920,-111.468750000000000,33.468750000000000,762.000000000000000,{34547820-FEEF-4495-ABC1-E8C50DD42B96},15050100,Middle Gila,{6D013BB1-E3BE-4DA3-BF40-CFCD17E7A970},175108,15050100
51,160769,-107.343750000000000,39.531250000000000,1226.000000000000000,{D1D40A1C-8336-4991-8F70-5EADC7F6E1A1},14010004,Roaring Fork,{487795EB-9BAE-4771-9227-8159D2ACDF59},105276,14010004
52,234670,-113.343750000000000,34.718750000000000,757.000000000000000,{FB6B8E22-F849-4846-AB5B-417EF726EA4A},15030202,Burro,{570FA15F-AF13-4496-953B-0B51CF2A1B64},161978,15030202
53,168467,-106.718750000000000,39.031250000000000,1227.000000000000000,{9AEDE168-54E8-42B2-A580-F7EC70997690},14020001,East-Taylor,{BF815C57-2A44-40CF-B598-EBA338CF6FBC},111507,14020001
54,151125,-109.468750000000000,40.156250000000000,1252.000000000000000,{70F882DC-8312-49EB-9E97-905B37715B5F},14050007,Lower White,{F01CFD85-E130-4B5C-9913-CA736BEA0FA4},97276,14050007
55,151097,-111.218750000000000,40.156250000000000,1073.000000000000000,{50AE195D-9472-438F-827A-01E75D20C988},14060004,Strawberry,{0AD126A2-A6C4-44E9-9CE6-DAD24DD5BD5F},97248,14060004
56,191521,-107.343750000000000,37.531250000000000,1338.000000000000000,{7BCB5647-FF3F-4409-9396-1757975659B6},14080102,Piedra,{BCD1AF6C-BB78-4321-868B-E60462611005},129523,14080102
